"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 24 19:07:03 GMT 2021","Sun Oct 24 19:07:04 GMT 2021","702","","behave","","","","turn off light",""
"passed","Sun Oct 24 19:06:52 GMT 2021","Sun Oct 24 19:06:53 GMT 2021","635","","behave","","","","toggle on switch",""
"passed","Sun Oct 24 19:06:50 GMT 2021","Sun Oct 24 19:06:51 GMT 2021","980","","behave","","","","read sensor",""
"passed","Sun Oct 24 19:07:05 GMT 2021","Sun Oct 24 19:07:10 GMT 2021","5700","","behave","","","","tracker",""
"passed","Sun Oct 24 19:06:51 GMT 2021","Sun Oct 24 19:06:52 GMT 2021","340","","behave","","","","turn on switch",""
"passed","Sun Oct 24 19:07:00 GMT 2021","Sun Oct 24 19:07:02 GMT 2021","1554","","behave","","","","turn on light",""
"passed","Sun Oct 24 19:06:47 GMT 2021","Sun Oct 24 19:06:47 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Sun Oct 24 19:06:47 GMT 2021","Sun Oct 24 19:06:47 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Sun Oct 24 19:06:47 GMT 2021","Sun Oct 24 19:06:47 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Sun Oct 24 19:07:04 GMT 2021","Sun Oct 24 19:07:05 GMT 2021","1030","","behave","","","","triger automation",""
"passed","Sun Oct 24 19:06:53 GMT 2021","Sun Oct 24 19:07:00 GMT 2021","7430","","behave","","","","turn off switch",""
"passed","Sun Oct 24 19:07:10 GMT 2021","Sun Oct 24 19:07:21 GMT 2021","10303","","behave","","","","tracker-where",""
"passed","Sun Oct 24 19:06:47 GMT 2021","Sun Oct 24 19:06:47 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Sun Oct 24 19:06:47 GMT 2021","Sun Oct 24 19:06:47 GMT 2021","24","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Sun Oct 24 19:06:47 GMT 2021","Sun Oct 24 19:06:47 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Sun Oct 24 19:07:21 GMT 2021","Sun Oct 24 19:07:21 GMT 2021","344","","behave","","","","set climate temperature",""
"passed","Sun Oct 24 19:07:02 GMT 2021","Sun Oct 24 19:07:03 GMT 2021","579","","behave","","","","decrease light brightness",""
"passed","Sun Oct 24 19:06:47 GMT 2021","Sun Oct 24 19:06:47 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Sun Oct 24 19:07:21 GMT 2021","Sun Oct 24 19:07:21 GMT 2021","326","","behave","","","","add item",""
"passed","Sun Oct 24 19:06:47 GMT 2021","Sun Oct 24 19:06:47 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Sun Oct 24 19:07:02 GMT 2021","Sun Oct 24 19:07:02 GMT 2021","380","","behave","","","","increase light brightness",""
"passed","Sun Oct 24 19:06:52 GMT 2021","Sun Oct 24 19:06:52 GMT 2021","385","","behave","","","","toggle off switch",""
"passed","Sun Oct 24 19:07:02 GMT 2021","Sun Oct 24 19:07:02 GMT 2021","397","","behave","","","","set light brightness",""
