"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 19 21:17:56 GMT 2021","Tue Oct 19 21:17:57 GMT 2021","1498","","behave","","","","tracker",""
"passed","Tue Oct 19 21:17:33 GMT 2021","Tue Oct 19 21:17:33 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Tue Oct 19 21:17:37 GMT 2021","Tue Oct 19 21:17:38 GMT 2021","385","","behave","","","","toggle off switch",""
"passed","Tue Oct 19 21:17:33 GMT 2021","Tue Oct 19 21:17:33 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 19 21:17:57 GMT 2021","Tue Oct 19 21:17:58 GMT 2021","455","","behave","","","","set climate temperature",""
"passed","Tue Oct 19 21:17:49 GMT 2021","Tue Oct 19 21:17:50 GMT 2021","1014","","behave","","","","turn off light",""
"passed","Tue Oct 19 21:17:38 GMT 2021","Tue Oct 19 21:17:38 GMT 2021","634","","behave","","","","toggle on switch",""
"passed","Tue Oct 19 21:17:38 GMT 2021","Tue Oct 19 21:17:47 GMT 2021","8119","","behave","","","","turn off switch",""
"passed","Tue Oct 19 21:17:33 GMT 2021","Tue Oct 19 21:17:33 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Tue Oct 19 21:17:33 GMT 2021","Tue Oct 19 21:17:33 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Tue Oct 19 21:17:48 GMT 2021","Tue Oct 19 21:17:49 GMT 2021","690","","behave","","","","increase light brightness",""
"passed","Tue Oct 19 21:17:49 GMT 2021","Tue Oct 19 21:17:49 GMT 2021","338","","behave","","","","decrease light brightness",""
"passed","Tue Oct 19 21:17:33 GMT 2021","Tue Oct 19 21:17:33 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Tue Oct 19 21:17:33 GMT 2021","Tue Oct 19 21:17:33 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 19 21:17:36 GMT 2021","Tue Oct 19 21:17:37 GMT 2021","938","","behave","","","","read sensor",""
"passed","Tue Oct 19 21:17:37 GMT 2021","Tue Oct 19 21:17:37 GMT 2021","380","","behave","","","","turn on switch",""
"passed","Tue Oct 19 21:17:33 GMT 2021","Tue Oct 19 21:17:33 GMT 2021","24","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Tue Oct 19 21:17:58 GMT 2021","Tue Oct 19 21:17:58 GMT 2021","566","","behave","","","","add item",""
"passed","Tue Oct 19 21:17:48 GMT 2021","Tue Oct 19 21:17:48 GMT 2021","340","","behave","","","","set light brightness",""
"passed","Tue Oct 19 21:17:33 GMT 2021","Tue Oct 19 21:17:33 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Tue Oct 19 21:17:50 GMT 2021","Tue Oct 19 21:17:56 GMT 2021","5911","","behave","","","","triger automation",""
"passed","Tue Oct 19 21:17:47 GMT 2021","Tue Oct 19 21:17:48 GMT 2021","1021","","behave","","","","turn on light",""
