"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 02 16:50:21 GMT 2021","Sat Oct 02 16:50:42 GMT 2021","20606","","","","","","turn off switch",""
"failed","Sat Oct 02 16:48:59 GMT 2021","Sat Oct 02 16:49:19 GMT 2021","20611","","","","","","read sensor",""
"failed","Sat Oct 02 16:50:00 GMT 2021","Sat Oct 02 16:50:21 GMT 2021","20606","","","","","","toggle on switch",""
"failed","Sat Oct 02 16:53:06 GMT 2021","Sat Oct 02 16:53:26 GMT 2021","20605","","","","","","set climate temperature",""
"failed","Sat Oct 02 16:49:19 GMT 2021","Sat Oct 02 16:49:40 GMT 2021","20606","","","","","","turn on switch",""
"failed","Sat Oct 02 16:52:04 GMT 2021","Sat Oct 02 16:52:25 GMT 2021","20606","","","","","","turn off light",""
"failed","Sat Oct 02 16:49:40 GMT 2021","Sat Oct 02 16:50:00 GMT 2021","20606","","","","","","toggle off switch",""
"failed","Sat Oct 02 16:52:45 GMT 2021","Sat Oct 02 16:53:06 GMT 2021","20605","","","","","","tracker",""
"failed","Sat Oct 02 16:52:25 GMT 2021","Sat Oct 02 16:52:45 GMT 2021","20605","","","","","","triger automation",""
"failed","Sat Oct 02 16:51:23 GMT 2021","Sat Oct 02 16:51:43 GMT 2021","20606","","","","","","increase light brightness",""
"failed","Sat Oct 02 16:53:26 GMT 2021","Sat Oct 02 16:53:47 GMT 2021","20606","","","","","","add item",""
"failed","Sat Oct 02 16:50:42 GMT 2021","Sat Oct 02 16:51:02 GMT 2021","20606","","","","","","turn on light",""
"failed","Sat Oct 02 16:51:43 GMT 2021","Sat Oct 02 16:52:04 GMT 2021","20606","","","","","","decrease light brightness",""
"failed","Sat Oct 02 16:51:02 GMT 2021","Sat Oct 02 16:51:23 GMT 2021","20608","","","","","","set light brightness",""
