2021-10-15 19:51:29.340 | INFO     |  5330 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-15 19:51:29.353 | INFO     |  5330 | mycroft_bus_client.client.client | Connected
2021-10-15 19:51:29.355 | INFO     |  5330 | mycroft.util.process_utils:start_message_bus_client:155 | Connected to messagebus
2021-10-15 19:51:29.358 | INFO     |  5330 | mycroft.skills.msm_wrapper:create_msm:96 | Acquiring lock to instantiate MSM
2021-10-15 19:51:31.513 | INFO     |  5330 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-15 19:51:32.157 | INFO     |  5330 | mycroft.skills.msm_wrapper:create_msm:112 | Releasing MSM instantiation lock.
2021-10-15 19:51:32.157 | INFO     |  5330 | mycroft.skills.skill_updater:_log_next_download_time:267 | Next scheduled skill update: 2021-10-15 19:51:31.157229
2021-10-15 19:51:32.158 | INFO     |  5330 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-pairing
2021-10-15 19:51:33.017 | INFO     |  5330 | msm.skill_entry | Installing system requirements...
2021-10-15 19:51:33.041 | INFO     |  5330 | msm.skill_entry | Successfully installed mycroft-pairing
2021-10-15 19:51:33.042 | INFO     |  5330 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 19:51:33.043 | INFO     |  5330 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-pairing.mycroftai
2021-10-15 19:51:33.052 | INFO     |  5330 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-10-15 19:51:33.088 | INFO     |  5330 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-pairing.mycroftai
2021-10-15 19:51:33.089 | INFO     |  5330 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-10-15 19:51:33.091 | INFO     |  5330 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-pairing.mycroftai loaded successfully
2021-10-15 19:51:33.091 | INFO     |  5330 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-volume
2021-10-15 19:51:33.893 | INFO     |  5330 | msm.skill_entry | Installing system requirements...
2021-10-15 19:51:33.903 | INFO     |  5330 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2021-10-15 19:51:34.685 | INFO     |  5330 | msm.skill_entry | Successfully installed mycroft-volume
2021-10-15 19:51:34.686 | INFO     |  5330 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 19:51:34.687 | INFO     |  5330 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-volume.mycroftai
2021-10-15 19:51:34.696 | INFO     |  5330 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-10-15 19:51:34.753 | ERROR    |  5330 | VolumeSkill | Couldn't allocate mixer, ALSAAudioError('No such file or directory [default]')
2021-10-15 19:51:37.756 | INFO     |  5330 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-volume.mycroftai
2021-10-15 19:51:37.757 | INFO     |  5330 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-10-15 19:51:37.758 | INFO     |  5330 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-volume.mycroftai loaded successfully
2021-10-15 19:51:37.759 | INFO     |  5330 | __main__:on_started:177 | Skills service is starting up.
2021-10-15 19:51:37.961 | INFO     |  5330 | __main__:_update_system:154 | Attempting system update...
2021-10-15 19:51:40.964 | INFO     |  5330 | mycroft.enclosure.display_manager:_write_data:70 | Display Manager is creating /tmp/mycroft/ipc/managers/disp_info
2021-10-15 19:51:40.965 | INFO     |  5330 | __main__:_ensure_device_is_paired:133 | Device not paired, invoking the pairing skill
2021-10-15 19:51:40.967 | INFO     |  5330 | __main__:on_alive:181 | Skills service is alive.
2021-10-15 19:51:40.969 | INFO     |  5330 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-15 19:51:41.240 | INFO     |  5330 | PairingSkill | Communicating account URL to user
2021-10-15 19:51:41.976 | WARNING  |  5330 | msm.mycroft_skills_manager | No such default skill: mycroft-pandora
2021-10-15 19:51:41.976 | INFO     |  5330 | mycroft.skills.skill_manager:run:234 | Not all default skills are installed, performing skill update...
2021-10-15 19:51:41.977 | INFO     |  5330 | mycroft.skills.skill_updater:update_skills:149 | Beginning skill update...
2021-10-15 19:51:42.180 | INFO     |  5330 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-15 19:51:43.065 | INFO     |  5330 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 19:51:43.096 | INFO     |  5330 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-wolfram-alpha
