2021-10-26 09:30:04.235 | INFO     |  5702 | __main__:main:50 | Starting message bus service...
2021-10-26 09:30:04.236 | INFO     |  5702 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-26 09:30:04.242 | INFO     |  5702 | __main__:on_ready:37 | Message bus service started!
2021-10-26 09:30:04.291 | INFO     |  5702 | tornado.access | 101 GET /core (127.0.0.1) 0.63ms
2021-10-26 09:30:04.332 | INFO     |  5702 | tornado.access | 101 GET /core (127.0.0.1) 0.47ms
2021-10-26 09:30:04.412 | INFO     |  5702 | tornado.access | 101 GET /core (127.0.0.1) 0.46ms
2021-10-26 09:30:04.433 | INFO     |  5702 | tornado.access | 101 GET /core (127.0.0.1) 0.61ms
2021-10-26 09:30:09.163 | INFO     |  5702 | tornado.access | 101 GET /core (127.0.0.1) 0.54ms
2021-10-26 09:31:16.318 | INFO     |  5702 | tornado.access | 101 GET /core (127.0.0.1) 0.47ms
2021-10-26 09:31:51.277 | INFO     |  5702 | __main__:on_stopping:45 | Message bus is shutting down...
