"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 14 19:08:13 GMT 2021","Thu Oct 14 19:08:13 GMT 2021","341","","","","","","turn on light",""
"passed","Thu Oct 14 19:08:23 GMT 2021","Thu Oct 14 19:08:23 GMT 2021","413","","","","","","set climate temperature",""
"passed","Thu Oct 14 19:08:34 GMT 2021","Thu Oct 14 19:08:34 GMT 2021","20","unittests","test_haclient","TestHaClient","","","test_light_nossl",""
"passed","Thu Oct 14 19:08:13 GMT 2021","Thu Oct 14 19:08:14 GMT 2021","344","","","","","","increase light brightness",""
"passed","Thu Oct 14 19:07:27 GMT 2021","Thu Oct 14 19:07:31 GMT 2021","3516","","","","","","read sensor",""
"passed","Thu Oct 14 19:08:14 GMT 2021","Thu Oct 14 19:08:15 GMT 2021","648","","","","","","triger automation",""
"passed","Thu Oct 14 19:08:34 GMT 2021","Thu Oct 14 19:08:34 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity",""
"failed","Thu Oct 14 19:07:52 GMT 2021","Thu Oct 14 19:08:13 GMT 2021","20608","","","","","","turn off switch",""
"passed","Thu Oct 14 19:07:31 GMT 2021","Thu Oct 14 19:07:31 GMT 2021","380","","","","","","turn on switch",""
"passed","Thu Oct 14 19:08:34 GMT 2021","Thu Oct 14 19:08:34 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port",""
"passed","Thu Oct 14 19:08:34 GMT 2021","Thu Oct 14 19:08:34 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl",""
"passed","Thu Oct 14 19:08:15 GMT 2021","Thu Oct 14 19:08:23 GMT 2021","7939","","","","","","tracker",""
"passed","Thu Oct 14 19:08:14 GMT 2021","Thu Oct 14 19:08:14 GMT 2021","385","","","","","","turn off light",""
"passed","Thu Oct 14 19:08:23 GMT 2021","Thu Oct 14 19:08:24 GMT 2021","610","","","","","","add item",""
"passed","Thu Oct 14 19:08:14 GMT 2021","Thu Oct 14 19:08:14 GMT 2021","343","","","","","","decrease light brightness",""
"failed","Thu Oct 14 19:07:31 GMT 2021","Thu Oct 14 19:07:52 GMT 2021","20606","","","","","","toggle on switch",""
"passed","Thu Oct 14 19:07:31 GMT 2021","Thu Oct 14 19:07:31 GMT 2021","347","","","","","","toggle off switch",""
"passed","Thu Oct 14 19:08:34 GMT 2021","Thu Oct 14 19:08:34 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights",""
"passed","Thu Oct 14 19:08:13 GMT 2021","Thu Oct 14 19:08:13 GMT 2021","349","","","","","","set light brightness",""
