"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 15 19:52:44 GMT 2021","Fri Oct 15 19:52:52 GMT 2021","7771","","behave","","","","turn off switch",""
"passed","Fri Oct 15 19:52:39 GMT 2021","Fri Oct 15 19:52:39 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Oct 15 19:52:53 GMT 2021","Fri Oct 15 19:52:54 GMT 2021","398","","behave","","","","set light brightness",""
"passed","Fri Oct 15 19:52:52 GMT 2021","Fri Oct 15 19:52:53 GMT 2021","1222","","behave","","","","turn on light",""
"passed","Fri Oct 15 19:52:54 GMT 2021","Fri Oct 15 19:52:55 GMT 2021","572","","behave","","","","decrease light brightness",""
"passed","Fri Oct 15 19:52:38 GMT 2021","Fri Oct 15 19:52:38 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Fri Oct 15 19:52:44 GMT 2021","Fri Oct 15 19:52:44 GMT 2021","629","","behave","","","","toggle on switch",""
"passed","Fri Oct 15 19:52:39 GMT 2021","Fri Oct 15 19:52:39 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Oct 15 19:52:39 GMT 2021","Fri Oct 15 19:52:39 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Fri Oct 15 19:52:42 GMT 2021","Fri Oct 15 19:52:43 GMT 2021","916","","behave","","","","read sensor",""
"passed","Fri Oct 15 19:52:43 GMT 2021","Fri Oct 15 19:52:44 GMT 2021","380","","behave","","","","toggle off switch",""
"failed","Fri Oct 15 19:52:38 GMT 2021","Fri Oct 15 19:52:39 GMT 2021","15","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Fri Oct 15 19:52:56 GMT 2021","Fri Oct 15 19:53:03 GMT 2021","6741","","behave","","","","tracker",""
"passed","Fri Oct 15 19:52:55 GMT 2021","Fri Oct 15 19:52:56 GMT 2021","1026","","behave","","","","triger automation",""
"passed","Fri Oct 15 19:53:03 GMT 2021","Fri Oct 15 19:53:04 GMT 2021","664","","behave","","","","set climate temperature",""
"passed","Fri Oct 15 19:52:43 GMT 2021","Fri Oct 15 19:52:43 GMT 2021","384","","behave","","","","turn on switch",""
"passed","Fri Oct 15 19:52:54 GMT 2021","Fri Oct 15 19:52:54 GMT 2021","374","","behave","","","","increase light brightness",""
"passed","Fri Oct 15 19:52:55 GMT 2021","Fri Oct 15 19:52:55 GMT 2021","698","","behave","","","","turn off light",""
"passed","Fri Oct 15 19:53:04 GMT 2021","Fri Oct 15 19:53:04 GMT 2021","540","","behave","","","","add item",""
