2021-10-29 18:42:17.155 | INFO     |  5374 | __main__:main:50 | Starting message bus service...
2021-10-29 18:42:17.167 | INFO     |  5374 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-29 18:42:17.176 | INFO     |  5374 | __main__:on_ready:37 | Message bus service started!
2021-10-29 18:42:17.201 | INFO     |  5374 | tornado.access | 101 GET /core (127.0.0.1) 0.90ms
2021-10-29 18:42:17.202 | INFO     |  5374 | tornado.access | 101 GET /core (127.0.0.1) 0.38ms
2021-10-29 18:42:17.331 | INFO     |  5374 | tornado.access | 101 GET /core (127.0.0.1) 0.46ms
2021-10-29 18:42:17.420 | INFO     |  5374 | tornado.access | 101 GET /core (127.0.0.1) 0.50ms
2021-10-29 18:42:17.430 | INFO     |  5374 | tornado.access | 101 GET /core (127.0.0.1) 0.49ms
2021-10-29 18:43:30.531 | INFO     |  5374 | tornado.access | 101 GET /core (127.0.0.1) 0.78ms
2021-10-29 18:43:30.647 | INFO     |  5374 | tornado.access | 101 GET /core (127.0.0.1) 0.67ms
2021-10-29 18:44:10.515 | INFO     |  5374 | __main__:on_stopping:45 | Message bus is shutting down...
