"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 23 08:42:17 GMT 2021","Sat Oct 23 08:42:17 GMT 2021","385","","behave","","","","turn on switch",""
"passed","Sat Oct 23 08:42:13 GMT 2021","Sat Oct 23 08:42:13 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Sat Oct 23 08:42:13 GMT 2021","Sat Oct 23 08:42:13 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Sat Oct 23 08:42:30 GMT 2021","Sat Oct 23 08:42:32 GMT 2021","1869","","behave","","","","set climate temperature",""
"passed","Sat Oct 23 08:42:28 GMT 2021","Sat Oct 23 08:42:29 GMT 2021","650","","behave","","","","triger automation",""
"passed","Sat Oct 23 08:42:13 GMT 2021","Sat Oct 23 08:42:13 GMT 2021","27","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Sat Oct 23 08:42:29 GMT 2021","Sat Oct 23 08:42:30 GMT 2021","1013","","behave","","","","tracker",""
"passed","Sat Oct 23 08:42:13 GMT 2021","Sat Oct 23 08:42:13 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Sat Oct 23 08:42:13 GMT 2021","Sat Oct 23 08:42:13 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Sat Oct 23 08:42:17 GMT 2021","Sat Oct 23 08:42:18 GMT 2021","335","","behave","","","","toggle off switch",""
"passed","Sat Oct 23 08:42:13 GMT 2021","Sat Oct 23 08:42:13 GMT 2021","4","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Sat Oct 23 08:42:18 GMT 2021","Sat Oct 23 08:42:19 GMT 2021","679","","behave","","","","turn off switch",""
"passed","Sat Oct 23 08:42:13 GMT 2021","Sat Oct 23 08:42:13 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Sat Oct 23 08:42:18 GMT 2021","Sat Oct 23 08:42:18 GMT 2021","337","","behave","","","","toggle on switch",""
"passed","Sat Oct 23 08:42:16 GMT 2021","Sat Oct 23 08:42:17 GMT 2021","1010","","behave","","","","read sensor",""
"passed","Sat Oct 23 08:42:28 GMT 2021","Sat Oct 23 08:42:28 GMT 2021","378","","behave","","","","turn off light",""
"passed","Sat Oct 23 08:42:27 GMT 2021","Sat Oct 23 08:42:28 GMT 2021","650","","behave","","","","decrease light brightness",""
"passed","Sat Oct 23 08:42:19 GMT 2021","Sat Oct 23 08:42:22 GMT 2021","2911","","behave","","","","turn on light",""
"passed","Sat Oct 23 08:42:32 GMT 2021","Sat Oct 23 08:42:37 GMT 2021","5379","","behave","","","","add item",""
"passed","Sat Oct 23 08:42:22 GMT 2021","Sat Oct 23 08:42:27 GMT 2021","5393","","behave","","","","set light brightness",""
"passed","Sat Oct 23 08:42:27 GMT 2021","Sat Oct 23 08:42:27 GMT 2021","385","","behave","","","","increase light brightness",""
"passed","Sat Oct 23 08:42:13 GMT 2021","Sat Oct 23 08:42:13 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
