2021-10-26 13:43:02.064 | INFO     |  5699 | __main__:main:50 | Starting message bus service...
2021-10-26 13:43:02.065 | INFO     |  5699 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-26 13:43:02.068 | INFO     |  5699 | __main__:on_ready:37 | Message bus service started!
2021-10-26 13:43:02.238 | INFO     |  5699 | tornado.access | 101 GET /core (127.0.0.1) 0.80ms
2021-10-26 13:43:02.374 | INFO     |  5699 | tornado.access | 101 GET /core (127.0.0.1) 0.79ms
2021-10-26 13:43:07.006 | INFO     |  5699 | tornado.access | 101 GET /core (127.0.0.1) 0.63ms
2021-10-26 13:43:07.062 | INFO     |  5699 | tornado.access | 101 GET /core (127.0.0.1) 0.74ms
2021-10-26 13:43:07.064 | INFO     |  5699 | tornado.access | 101 GET /core (127.0.0.1) 1.32ms
2021-10-26 13:44:36.625 | INFO     |  5699 | tornado.access | 101 GET /core (127.0.0.1) 0.62ms
2021-10-26 13:44:36.671 | INFO     |  5699 | tornado.access | 101 GET /core (127.0.0.1) 0.58ms
2021-10-26 13:45:17.977 | INFO     |  5699 | __main__:on_stopping:45 | Message bus is shutting down...
