"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 13 22:11:11 GMT 2021","Wed Oct 13 22:11:12 GMT 2021","636","","","","","","turn off light",""
"passed","Wed Oct 13 22:10:59 GMT 2021","Wed Oct 13 22:11:00 GMT 2021","396","","","","","","turn on switch",""
"passed","Wed Oct 13 22:11:00 GMT 2021","Wed Oct 13 22:11:00 GMT 2021","346","","","","","","toggle off switch",""
"passed","Wed Oct 13 22:11:01 GMT 2021","Wed Oct 13 22:11:09 GMT 2021","7909","","","","","","turn on light",""
"passed","Wed Oct 13 22:10:55 GMT 2021","Wed Oct 13 22:10:59 GMT 2021","4385","","","","","","read sensor",""
"passed","Wed Oct 13 22:11:09 GMT 2021","Wed Oct 13 22:11:10 GMT 2021","437","","","","","","set light brightness",""
"passed","Wed Oct 13 22:11:12 GMT 2021","Wed Oct 13 22:11:13 GMT 2021","1037","","","","","","triger automation",""
"passed","Wed Oct 13 22:11:00 GMT 2021","Wed Oct 13 22:11:00 GMT 2021","347","","","","","","toggle on switch",""
"passed","Wed Oct 13 22:11:10 GMT 2021","Wed Oct 13 22:11:11 GMT 2021","747","","","","","","decrease light brightness",""
"passed","Wed Oct 13 22:11:10 GMT 2021","Wed Oct 13 22:11:10 GMT 2021","603","","","","","","increase light brightness",""
"passed","Wed Oct 13 22:11:00 GMT 2021","Wed Oct 13 22:11:01 GMT 2021","1019","","","","","","turn off switch",""
"passed","Wed Oct 13 22:11:13 GMT 2021","Wed Oct 13 22:11:23 GMT 2021","10646","","","","","","tracker",""
"passed","Wed Oct 13 22:11:24 GMT 2021","Wed Oct 13 22:11:24 GMT 2021","331","","","","","","add item",""
"passed","Wed Oct 13 22:11:23 GMT 2021","Wed Oct 13 22:11:24 GMT 2021","345","","","","","","set climate temperature",""
