"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 13 22:21:19 GMT 2021","Wed Oct 13 22:21:19 GMT 2021","346","","","","","","toggle off switch",""
"passed","Wed Oct 13 22:21:52 GMT 2021","Wed Oct 13 22:21:53 GMT 2021","341","","","","","","set climate temperature",""
"passed","Wed Oct 13 22:22:07 GMT 2021","Wed Oct 13 22:22:07 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity",""
"passed","Wed Oct 13 22:21:20 GMT 2021","Wed Oct 13 22:21:28 GMT 2021","7914","","","","","","turn on light",""
"passed","Wed Oct 13 22:21:18 GMT 2021","Wed Oct 13 22:21:19 GMT 2021","399","","","","","","turn on switch",""
"passed","Wed Oct 13 22:21:30 GMT 2021","Wed Oct 13 22:21:31 GMT 2021","627","","","","","","turn off light",""
"passed","Wed Oct 13 22:21:19 GMT 2021","Wed Oct 13 22:21:20 GMT 2021","1011","","","","","","turn off switch",""
"passed","Wed Oct 13 22:21:53 GMT 2021","Wed Oct 13 22:21:53 GMT 2021","332","","","","","","add item",""
"passed","Wed Oct 13 22:21:14 GMT 2021","Wed Oct 13 22:21:18 GMT 2021","4208","","","","","","read sensor",""
"failed","Wed Oct 13 22:22:07 GMT 2021","Wed Oct 13 22:22:07 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights",""
"passed","Wed Oct 13 22:22:07 GMT 2021","Wed Oct 13 22:22:07 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port",""
"passed","Wed Oct 13 22:21:30 GMT 2021","Wed Oct 13 22:21:30 GMT 2021","432","","","","","","decrease light brightness",""
"passed","Wed Oct 13 22:21:28 GMT 2021","Wed Oct 13 22:21:29 GMT 2021","441","","","","","","set light brightness",""
"passed","Wed Oct 13 22:21:19 GMT 2021","Wed Oct 13 22:21:19 GMT 2021","342","","","","","","toggle on switch",""
"passed","Wed Oct 13 22:21:29 GMT 2021","Wed Oct 13 22:21:30 GMT 2021","971","","","","","","increase light brightness",""
"passed","Wed Oct 13 22:22:07 GMT 2021","Wed Oct 13 22:22:07 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl",""
"passed","Wed Oct 13 22:22:07 GMT 2021","Wed Oct 13 22:22:07 GMT 2021","24","unittests","test_haclient","TestHaClient","","","test_light_nossl",""
"failed","Wed Oct 13 22:21:32 GMT 2021","Wed Oct 13 22:21:52 GMT 2021","20607","","","","","","tracker",""
"passed","Wed Oct 13 22:21:31 GMT 2021","Wed Oct 13 22:21:32 GMT 2021","1036","","","","","","triger automation",""
