"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 05 19:09:54 GMT 2021","Tue Oct 05 19:09:55 GMT 2021","1042","","","","","","set light brightness",""
"passed","Tue Oct 05 19:09:55 GMT 2021","Tue Oct 05 19:10:02 GMT 2021","7054","","","","","","increase light brightness",""
"passed","Tue Oct 05 19:09:53 GMT 2021","Tue Oct 05 19:09:53 GMT 2021","351","","","","","","toggle off switch",""
"passed","Tue Oct 05 19:10:25 GMT 2021","Tue Oct 05 19:10:25 GMT 2021","332","","","","","","add item",""
"passed","Tue Oct 05 19:09:53 GMT 2021","Tue Oct 05 19:09:54 GMT 2021","396","","","","","","turn off switch",""
"passed","Tue Oct 05 19:09:53 GMT 2021","Tue Oct 05 19:09:53 GMT 2021","339","","","","","","toggle on switch",""
"failed","Tue Oct 05 19:10:04 GMT 2021","Tue Oct 05 19:10:25 GMT 2021","20606","","","","","","tracker",""
"failed","Tue Oct 05 19:09:32 GMT 2021","Tue Oct 05 19:09:52 GMT 2021","20615","","","","","","read sensor",""
"passed","Tue Oct 05 19:09:54 GMT 2021","Tue Oct 05 19:09:54 GMT 2021","617","","","","","","turn on light",""
"passed","Tue Oct 05 19:09:52 GMT 2021","Tue Oct 05 19:09:53 GMT 2021","355","","","","","","turn on switch",""
"passed","Tue Oct 05 19:10:03 GMT 2021","Tue Oct 05 19:10:04 GMT 2021","671","","","","","","turn off light",""
"passed","Tue Oct 05 19:10:04 GMT 2021","Tue Oct 05 19:10:04 GMT 2021","361","","","","","","triger automation",""
"passed","Tue Oct 05 19:10:02 GMT 2021","Tue Oct 05 19:10:03 GMT 2021","627","","","","","","decrease light brightness",""
"passed","Tue Oct 05 19:10:25 GMT 2021","Tue Oct 05 19:10:25 GMT 2021","350","","","","","","set climate temperature",""
