2021-10-15 20:29:36.144 | INFO     |  5391 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-15 20:29:36.153 | INFO     |  5391 | mycroft_bus_client.client.client | Connected
2021-10-15 20:29:36.159 | INFO     |  5391 | mycroft.util.process_utils:start_message_bus_client:155 | Connected to messagebus
2021-10-15 20:29:36.168 | INFO     |  5391 | mycroft.skills.msm_wrapper:create_msm:96 | Acquiring lock to instantiate MSM
2021-10-15 20:29:38.625 | INFO     |  5391 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-15 20:29:39.193 | INFO     |  5391 | mycroft.skills.msm_wrapper:create_msm:112 | Releasing MSM instantiation lock.
2021-10-15 20:29:39.194 | INFO     |  5391 | mycroft.skills.skill_updater:_log_next_download_time:267 | Next scheduled skill update: 2021-10-15 20:29:38.193993
2021-10-15 20:29:39.194 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-pairing
2021-10-15 20:29:40.035 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:40.054 | INFO     |  5391 | msm.skill_entry | Successfully installed mycroft-pairing
2021-10-15 20:29:40.054 | INFO     |  5391 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 20:29:40.055 | INFO     |  5391 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-pairing.mycroftai
2021-10-15 20:29:40.062 | INFO     |  5391 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-10-15 20:29:40.107 | INFO     |  5391 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-pairing.mycroftai
2021-10-15 20:29:40.108 | INFO     |  5391 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-10-15 20:29:40.111 | INFO     |  5391 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-pairing.mycroftai loaded successfully
2021-10-15 20:29:40.111 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-volume
2021-10-15 20:29:40.926 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:40.962 | INFO     |  5391 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2021-10-15 20:29:41.797 | INFO     |  5391 | msm.skill_entry | Successfully installed mycroft-volume
2021-10-15 20:29:41.797 | INFO     |  5391 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 20:29:41.798 | INFO     |  5391 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-volume.mycroftai
2021-10-15 20:29:41.808 | INFO     |  5391 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-10-15 20:29:41.929 | ERROR    |  5391 | VolumeSkill | Couldn't allocate mixer, ALSAAudioError('No such file or directory [default]')
2021-10-15 20:29:44.931 | INFO     |  5391 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-volume.mycroftai
2021-10-15 20:29:44.932 | INFO     |  5391 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-10-15 20:29:44.932 | INFO     |  5391 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-volume.mycroftai loaded successfully
2021-10-15 20:29:44.933 | INFO     |  5391 | __main__:on_started:177 | Skills service is starting up.
2021-10-15 20:29:45.129 | INFO     |  5391 | __main__:_update_system:154 | Attempting system update...
2021-10-15 20:29:48.131 | INFO     |  5391 | mycroft.enclosure.display_manager:_write_data:70 | Display Manager is creating /tmp/mycroft/ipc/managers/disp_info
2021-10-15 20:29:48.132 | INFO     |  5391 | __main__:_ensure_device_is_paired:133 | Device not paired, invoking the pairing skill
2021-10-15 20:29:48.140 | INFO     |  5391 | __main__:on_alive:181 | Skills service is alive.
2021-10-15 20:29:48.144 | INFO     |  5391 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-15 20:29:48.556 | WARNING  |  5391 | msm.mycroft_skills_manager | No such default skill: mycroft-pandora
2021-10-15 20:29:48.556 | INFO     |  5391 | mycroft.skills.skill_manager:run:234 | Not all default skills are installed, performing skill update...
2021-10-15 20:29:48.557 | INFO     |  5391 | mycroft.skills.skill_updater:update_skills:149 | Beginning skill update...
2021-10-15 20:29:48.683 | INFO     |  5391 | PairingSkill | Communicating account URL to user
2021-10-15 20:29:48.751 | INFO     |  5391 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-15 20:29:49.145 | INFO     |  5391 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 20:29:49.164 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-unknown
2021-10-15 20:29:49.169 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-wolfram-alpha
2021-10-15 20:29:49.172 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-audio-record
2021-10-15 20:29:49.174 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-configuration
2021-10-15 20:29:49.175 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-date-time
2021-10-15 20:29:49.176 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-duckduckgo
2021-10-15 20:29:49.178 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-installer
2021-10-15 20:29:49.180 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-hello-world
2021-10-15 20:29:49.188 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-naptime
2021-10-15 20:29:49.200 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-personal
2021-10-15 20:29:49.210 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-npr-news
2021-10-15 20:29:49.238 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-reminder
2021-10-15 20:29:49.240 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-alarm
2021-10-15 20:29:49.250 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-joke
2021-10-15 20:29:49.281 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-playback-control
2021-10-15 20:29:49.284 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-ip
2021-10-15 20:29:49.286 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-singing
2021-10-15 20:29:49.928 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:49.953 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:50.006 | INFO     |  5391 | msm.skill_entry | Installing requirements.txt for mycroft-audio-record
2021-10-15 20:29:50.025 | INFO     |  5391 | msm.skill_entry | Successfully installed fallback-unknown
2021-10-15 20:29:50.026 | INFO     |  5391 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 20:29:50.026 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-speak
2021-10-15 20:29:50.249 | ERROR    |  5391 | msm.mycroft_skills_manager | Error running install_or_update on homeassistant.mycroftai: MergeConflict
2021-10-15 20:29:50.292 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-spelling
2021-10-15 20:29:50.327 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:50.333 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:50.396 | INFO     |  5391 | msm.skill_entry | Installing requirements.txt for mycroft-ip
2021-10-15 20:29:50.492 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:50.517 | INFO     |  5391 | msm.skill_entry | Installing requirements.txt for mycroft-fallback-duck-duck-go
2021-10-15 20:29:50.518 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:50.536 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:50.590 | INFO     |  5391 | msm.skill_entry | Installing requirements.txt for mycroft-npr-news
2021-10-15 20:29:50.594 | INFO     |  5391 | msm.skill_entry | Successfully installed mycroft-naptime
2021-10-15 20:29:50.594 | INFO     |  5391 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 20:29:50.595 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-stop
2021-10-15 20:29:50.616 | INFO     |  5391 | msm.skill_entry | Successfully installed mycroft-personal
2021-10-15 20:29:50.616 | INFO     |  5391 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 20:29:50.617 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-support
2021-10-15 20:29:50.655 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:50.666 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:50.698 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:50.741 | INFO     |  5391 | msm.skill_entry | Successfully installed mycroft-reminder
2021-10-15 20:29:50.741 | INFO     |  5391 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 20:29:50.747 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/mycroft-timer
2021-10-15 20:29:50.775 | INFO     |  5391 | msm.skill_entry | Installing requirements.txt for mycroft-joke
2021-10-15 20:29:50.869 | INFO     |  5391 | msm.skill_entry | Successfully installed mycroft-hello-world
2021-10-15 20:29:50.870 | INFO     |  5391 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 20:29:50.877 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-weather
2021-10-15 20:29:50.905 | INFO     |  5391 | msm.skill_entry | Nothing new for mycroft-pairing
2021-10-15 20:29:50.948 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:51.008 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:51.030 | INFO     |  5391 | msm.skill_entry | Nothing new for mycroft-volume
2021-10-15 20:29:51.053 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:51.071 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:51.163 | INFO     |  5391 | msm.skill_entry | Installing requirements.txt for mycroft-configuration
2021-10-15 20:29:51.165 | INFO     |  5391 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2021-10-15 20:29:51.183 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:51.206 | INFO     |  5391 | msm.skill_entry | Installing requirements.txt for fallback-wolfram-alpha
2021-10-15 20:29:51.209 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:51.229 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-version-checker
2021-10-15 20:29:51.265 | INFO     |  5391 | msm.skill_entry | Installing requirements.txt for mycroft-date-time
2021-10-15 20:29:51.291 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:51.317 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:51.337 | INFO     |  5391 | msm.skill_entry | Successfully installed mycroft-spelling
2021-10-15 20:29:51.338 | INFO     |  5391 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 20:29:51.339 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-wiki
2021-10-15 20:29:51.359 | INFO     |  5391 | msm.skill_entry | Successfully installed mycroft-speak
2021-10-15 20:29:51.359 | INFO     |  5391 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 20:29:51.361 | INFO     |  5391 | msm.skill_entry | Downloading skill: https://github.com/MycroftAI/skill-query
2021-10-15 20:29:51.450 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:51.484 | INFO     |  5391 | msm.skill_entry | Installing system requirements...
2021-10-15 20:29:51.513 | INFO     |  5391 | msm.skill_entry | Successfully installed mycroft-playback-control
2021-10-15 20:29:51.514 | INFO     |  5391 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-15 20:29:51.523 | INFO     |  5391 | msm.skill_entry | Successfully installed mycroft-stop
