"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 15 20:31:45 GMT 2021","Fri Oct 15 20:31:45 GMT 2021","423","","behave","","","","set light brightness",""
"passed","Fri Oct 15 20:31:45 GMT 2021","Fri Oct 15 20:31:45 GMT 2021","391","","behave","","","","increase light brightness",""
"passed","Fri Oct 15 20:31:36 GMT 2021","Fri Oct 15 20:31:45 GMT 2021","8204","","behave","","","","turn on light",""
"passed","Fri Oct 15 20:31:55 GMT 2021","Fri Oct 15 20:31:55 GMT 2021","483","","behave","","","","add item",""
"passed","Fri Oct 15 20:31:46 GMT 2021","Fri Oct 15 20:31:47 GMT 2021","381","","behave","","","","triger automation",""
"passed","Fri Oct 15 20:31:27 GMT 2021","Fri Oct 15 20:31:27 GMT 2021","4","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Oct 15 20:31:27 GMT 2021","Fri Oct 15 20:31:27 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Fri Oct 15 20:31:46 GMT 2021","Fri Oct 15 20:31:46 GMT 2021","648","","behave","","","","turn off light",""
"passed","Fri Oct 15 20:31:47 GMT 2021","Fri Oct 15 20:31:48 GMT 2021","1028","","behave","","","","tracker",""
"passed","Fri Oct 15 20:31:35 GMT 2021","Fri Oct 15 20:31:35 GMT 2021","403","","behave","","","","toggle off switch",""
"passed","Fri Oct 15 20:31:34 GMT 2021","Fri Oct 15 20:31:35 GMT 2021","394","","behave","","","","turn on switch",""
"passed","Fri Oct 15 20:31:27 GMT 2021","Fri Oct 15 20:31:27 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Fri Oct 15 20:31:45 GMT 2021","Fri Oct 15 20:31:46 GMT 2021","373","","behave","","","","decrease light brightness",""
"passed","Fri Oct 15 20:31:48 GMT 2021","Fri Oct 15 20:31:55 GMT 2021","6747","","behave","","","","set climate temperature",""
"passed","Fri Oct 15 20:31:33 GMT 2021","Fri Oct 15 20:31:34 GMT 2021","1322","","behave","","","","read sensor",""
"failed","Fri Oct 15 20:31:27 GMT 2021","Fri Oct 15 20:31:27 GMT 2021","66","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Fri Oct 15 20:31:35 GMT 2021","Fri Oct 15 20:31:35 GMT 2021","404","","behave","","","","toggle on switch",""
"passed","Fri Oct 15 20:31:27 GMT 2021","Fri Oct 15 20:31:27 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Oct 15 20:31:35 GMT 2021","Fri Oct 15 20:31:36 GMT 2021","1021","","behave","","","","turn off switch",""
