2021-11-04 07:42:05.810 | INFO     |  5343 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-11-04 07:42:05.819 | INFO     |  5343 | mycroft_bus_client.client.client | Connected
2021-11-04 07:42:05.820 | INFO     |  5343 | mycroft.util.process_utils:start_message_bus_client:155 | Connected to messagebus
2021-11-04 07:42:05.823 | INFO     |  5343 | mycroft.skills.msm_wrapper:create_msm:96 | Acquiring lock to instantiate MSM
2021-11-04 07:42:07.679 | INFO     |  5343 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-11-04 07:42:08.472 | INFO     |  5343 | mycroft.skills.msm_wrapper:create_msm:112 | Releasing MSM instantiation lock.
2021-11-04 07:42:08.473 | INFO     |  5343 | mycroft.skills.skill_updater:_log_next_download_time:267 | Next scheduled skill update: 2021-11-04 07:42:07.473083
2021-11-04 07:42:08.473 | INFO     |  5343 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-pairing
2021-11-04 07:42:09.282 | INFO     |  5343 | msm.skill_entry | Installing system requirements...
2021-11-04 07:42:09.292 | INFO     |  5343 | msm.skill_entry | Successfully installed mycroft-pairing
2021-11-04 07:42:09.296 | INFO     |  5343 | msm.mycroft_skills_manager | invalidating skills cache
2021-11-04 07:42:09.298 | INFO     |  5343 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-pairing.mycroftai
2021-11-04 07:42:09.305 | INFO     |  5343 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-11-04 07:42:09.324 | INFO     |  5343 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-pairing.mycroftai
2021-11-04 07:42:09.324 | INFO     |  5343 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-11-04 07:42:09.329 | INFO     |  5343 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-pairing.mycroftai loaded successfully
2021-11-04 07:42:09.329 | INFO     |  5343 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-volume
2021-11-04 07:42:10.797 | INFO     |  5343 | msm.skill_entry | Installing system requirements...
2021-11-04 07:42:10.835 | INFO     |  5343 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2021-11-04 07:42:11.671 | INFO     |  5343 | msm.skill_entry | Successfully installed mycroft-volume
2021-11-04 07:42:11.671 | INFO     |  5343 | msm.mycroft_skills_manager | invalidating skills cache
2021-11-04 07:42:11.673 | INFO     |  5343 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-volume.mycroftai
2021-11-04 07:42:11.681 | INFO     |  5343 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-11-04 07:42:11.833 | ERROR    |  5343 | VolumeSkill | Couldn't allocate mixer, ALSAAudioError('No such file or directory [default]')
2021-11-04 07:42:14.839 | INFO     |  5343 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-volume.mycroftai
2021-11-04 07:42:14.840 | INFO     |  5343 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-11-04 07:42:14.841 | INFO     |  5343 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-volume.mycroftai loaded successfully
2021-11-04 07:42:14.841 | INFO     |  5343 | __main__:on_started:177 | Skills service is starting up.
2021-11-04 07:42:14.950 | INFO     |  5343 | __main__:_update_system:154 | Attempting system update...
2021-11-04 07:42:17.952 | INFO     |  5343 | mycroft.enclosure.display_manager:_write_data:70 | Display Manager is creating /tmp/mycroft/ipc/managers/disp_info
2021-11-04 07:42:17.953 | INFO     |  5343 | __main__:_ensure_device_is_paired:133 | Device not paired, invoking the pairing skill
2021-11-04 07:42:17.953 | INFO     |  5343 | __main__:on_alive:181 | Skills service is alive.
2021-11-04 07:42:17.957 | INFO     |  5343 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-11-04 07:42:18.337 | INFO     |  5343 | PairingSkill | Communicating account URL to user
2021-11-04 07:42:18.444 | WARNING  |  5343 | msm.mycroft_skills_manager | No such default skill: mycroft-pandora
2021-11-04 07:42:18.445 | INFO     |  5343 | mycroft.skills.skill_manager:run:234 | Not all default skills are installed, performing skill update...
2021-11-04 07:42:18.445 | INFO     |  5343 | mycroft.skills.skill_updater:update_skills:149 | Beginning skill update...
2021-11-04 07:42:18.552 | INFO     |  5343 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-11-04 07:42:19.351 | INFO     |  5343 | msm.mycroft_skills_manager | invalidating skills cache
2021-11-04 07:42:19.631 | INFO     |  5343 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-configuration
2021-11-04 07:42:19.631 | INFO     |  5343 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-alarm
2021-11-04 07:42:19.648 | INFO     |  5343 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-date-time
2021-11-04 07:42:19.650 | INFO     |  5343 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-audio-record
2021-11-04 07:42:19.651 | INFO     |  5343 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-wolfram-alpha
