2022-03-16 07:37:19.698 | INFO     |  4762 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2022-03-16 07:37:19.703 | INFO     |  4762 | mycroft_bus_client.client.client | Connected
2022-03-16 07:37:19.704 | INFO     |  4762 | mycroft.util.process_utils:start_message_bus_client:155 | Connected to messagebus
2022-03-16 07:37:19.710 | INFO     |  4762 | mycroft.skills.msm_wrapper:create_msm:96 | Acquiring lock to instantiate MSM
2022-03-16 07:37:21.570 | INFO     |  4762 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2022-03-16 07:37:22.173 | INFO     |  4762 | mycroft.skills.msm_wrapper:create_msm:112 | Releasing MSM instantiation lock.
2022-03-16 07:37:22.173 | INFO     |  4762 | mycroft.skills.skill_updater:_log_next_download_time:267 | Next scheduled skill update: 2022-03-16 07:37:21.173369
2022-03-16 07:37:22.174 | INFO     |  4762 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-pairing
2022-03-16 07:37:22.922 | INFO     |  4762 | msm.skill_entry | Installing system requirements...
2022-03-16 07:37:22.932 | INFO     |  4762 | msm.skill_entry | Successfully installed mycroft-pairing
2022-03-16 07:37:22.932 | INFO     |  4762 | msm.mycroft_skills_manager | invalidating skills cache
2022-03-16 07:37:22.934 | INFO     |  4762 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-pairing.mycroftai
2022-03-16 07:37:22.941 | INFO     |  4762 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2022-03-16 07:37:22.949 | INFO     |  4762 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-pairing.mycroftai
2022-03-16 07:37:22.950 | INFO     |  4762 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2022-03-16 07:37:22.951 | INFO     |  4762 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-pairing.mycroftai loaded successfully
2022-03-16 07:37:22.951 | INFO     |  4762 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-volume
2022-03-16 07:37:23.784 | INFO     |  4762 | msm.skill_entry | Installing system requirements...
2022-03-16 07:37:23.817 | INFO     |  4762 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2022-03-16 07:37:24.895 | INFO     |  4762 | msm.skill_entry | Successfully installed mycroft-volume
2022-03-16 07:37:24.896 | INFO     |  4762 | msm.mycroft_skills_manager | invalidating skills cache
2022-03-16 07:37:24.897 | INFO     |  4762 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-volume.mycroftai
2022-03-16 07:37:24.905 | INFO     |  4762 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-volume.mycroftai/settings.json
2022-03-16 07:37:24.986 | ERROR    |  4762 | VolumeSkill | Couldn't allocate mixer, ALSAAudioError('No such file or directory [default]')
2022-03-16 07:37:27.990 | INFO     |  4762 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-volume.mycroftai
2022-03-16 07:37:27.991 | INFO     |  4762 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-volume.mycroftai/settings.json
2022-03-16 07:37:27.994 | INFO     |  4762 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-volume.mycroftai loaded successfully
2022-03-16 07:37:27.998 | INFO     |  4762 | __main__:on_started:177 | Skills service is starting up.
2022-03-16 07:37:28.076 | INFO     |  4762 | __main__:_update_system:154 | Attempting system update...
