"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 10 20:59:52 GMT 2021","Sun Oct 10 20:59:53 GMT 2021","1017","","","","","","add item",""
"passed","Sun Oct 10 20:59:21 GMT 2021","Sun Oct 10 20:59:29 GMT 2021","8229","","","","","","turn on light",""
"passed","Sun Oct 10 20:59:51 GMT 2021","Sun Oct 10 20:59:52 GMT 2021","653","","","","","","set climate temperature",""
"passed","Sun Oct 10 20:59:50 GMT 2021","Sun Oct 10 20:59:51 GMT 2021","382","","","","","","turn off light",""
"passed","Sun Oct 10 20:59:19 GMT 2021","Sun Oct 10 20:59:20 GMT 2021","378","","","","","","toggle on switch",""
"passed","Sun Oct 10 20:59:50 GMT 2021","Sun Oct 10 20:59:50 GMT 2021","335","","","","","","decrease light brightness",""
"passed","Sun Oct 10 20:59:51 GMT 2021","Sun Oct 10 20:59:51 GMT 2021","374","","","","","","tracker",""
"failed","Sun Oct 10 20:59:29 GMT 2021","Sun Oct 10 20:59:50 GMT 2021","20606","","","","","","set light brightness",""
"passed","Sun Oct 10 20:59:16 GMT 2021","Sun Oct 10 20:59:19 GMT 2021","2264","","","","","","read sensor",""
"passed","Sun Oct 10 20:59:20 GMT 2021","Sun Oct 10 20:59:21 GMT 2021","1012","","","","","","turn off switch",""
"passed","Sun Oct 10 20:59:51 GMT 2021","Sun Oct 10 20:59:51 GMT 2021","336","","","","","","triger automation",""
"passed","Sun Oct 10 20:59:50 GMT 2021","Sun Oct 10 20:59:50 GMT 2021","335","","","","","","increase light brightness",""
"passed","Sun Oct 10 20:59:19 GMT 2021","Sun Oct 10 20:59:19 GMT 2021","380","","","","","","toggle off switch",""
"passed","Sun Oct 10 20:59:19 GMT 2021","Sun Oct 10 20:59:19 GMT 2021","377","","","","","","turn on switch",""
