"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 26 14:40:54 GMT 2021","Tue Oct 26 14:40:55 GMT 2021","721","","behave","","","","set climate temperature",""
"passed","Tue Oct 26 14:40:29 GMT 2021","Tue Oct 26 14:40:29 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 26 14:40:45 GMT 2021","Tue Oct 26 14:40:45 GMT 2021","344","","behave","","","","increase light brightness",""
"passed","Tue Oct 26 14:40:48 GMT 2021","Tue Oct 26 14:40:54 GMT 2021","6670","","behave","","","","tracker",""
"passed","Tue Oct 26 14:40:33 GMT 2021","Tue Oct 26 14:40:34 GMT 2021","942","","behave","","","","read sensor",""
"passed","Tue Oct 26 14:40:34 GMT 2021","Tue Oct 26 14:40:35 GMT 2021","385","","behave","","","","toggle off switch",""
"passed","Tue Oct 26 14:40:44 GMT 2021","Tue Oct 26 14:40:45 GMT 2021","741","","behave","","","","turn on light",""
"passed","Tue Oct 26 14:40:29 GMT 2021","Tue Oct 26 14:40:29 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 26 14:40:46 GMT 2021","Tue Oct 26 14:40:47 GMT 2021","670","","behave","","","","turn off light",""
"passed","Tue Oct 26 14:40:45 GMT 2021","Tue Oct 26 14:40:46 GMT 2021","643","","behave","","","","decrease light brightness",""
"passed","Tue Oct 26 14:40:30 GMT 2021","Tue Oct 26 14:40:30 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Tue Oct 26 14:40:45 GMT 2021","Tue Oct 26 14:40:45 GMT 2021","349","","behave","","","","set light brightness",""
"passed","Tue Oct 26 14:40:35 GMT 2021","Tue Oct 26 14:40:35 GMT 2021","644","","behave","","","","toggle on switch",""
"passed","Tue Oct 26 14:40:34 GMT 2021","Tue Oct 26 14:40:34 GMT 2021","381","","behave","","","","turn on switch",""
"passed","Tue Oct 26 14:40:29 GMT 2021","Tue Oct 26 14:40:29 GMT 2021","3","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Tue Oct 26 14:40:55 GMT 2021","Tue Oct 26 14:40:56 GMT 2021","589","","behave","","","","add item",""
"passed","Tue Oct 26 14:40:30 GMT 2021","Tue Oct 26 14:40:30 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Tue Oct 26 14:40:29 GMT 2021","Tue Oct 26 14:40:30 GMT 2021","27","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Tue Oct 26 14:40:29 GMT 2021","Tue Oct 26 14:40:29 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Tue Oct 26 14:40:30 GMT 2021","Tue Oct 26 14:40:30 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Tue Oct 26 14:40:35 GMT 2021","Tue Oct 26 14:40:44 GMT 2021","8613","","behave","","","","turn off switch",""
"passed","Tue Oct 26 14:40:47 GMT 2021","Tue Oct 26 14:40:48 GMT 2021","1033","","behave","","","","triger automation",""
