2021-10-29 13:58:20.486 | INFO     |  5330 | __main__:main:50 | Starting message bus service...
2021-10-29 13:58:20.487 | INFO     |  5330 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-29 13:58:20.495 | INFO     |  5330 | __main__:on_ready:37 | Message bus service started!
2021-10-29 13:58:20.522 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.95ms
2021-10-29 13:58:20.550 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.47ms
2021-10-29 13:58:20.587 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.53ms
2021-10-29 13:58:20.695 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.88ms
2021-10-29 13:58:20.853 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.58ms
2021-10-29 13:59:49.624 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.49ms
2021-10-29 13:59:49.628 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.57ms
2021-10-29 14:00:29.121 | INFO     |  5330 | __main__:on_stopping:45 | Message bus is shutting down...
