"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 02 17:21:53 GMT 2021","Sat Oct 02 17:22:14 GMT 2021","20610","","","","","","read sensor",""
"failed","Sat Oct 02 17:22:34 GMT 2021","Sat Oct 02 17:22:55 GMT 2021","20609","","","","","","toggle off switch",""
"failed","Sat Oct 02 17:24:38 GMT 2021","Sat Oct 02 17:24:59 GMT 2021","20608","","","","","","decrease light brightness",""
"failed","Sat Oct 02 17:22:14 GMT 2021","Sat Oct 02 17:22:34 GMT 2021","20607","","","","","","turn on switch",""
"failed","Sat Oct 02 17:23:16 GMT 2021","Sat Oct 02 17:23:36 GMT 2021","20607","","","","","","turn off switch",""
"failed","Sat Oct 02 17:25:40 GMT 2021","Sat Oct 02 17:26:01 GMT 2021","20608","","","","","","tracker",""
"failed","Sat Oct 02 17:26:21 GMT 2021","Sat Oct 02 17:26:42 GMT 2021","20608","","","","","","add item",""
"failed","Sat Oct 02 17:23:36 GMT 2021","Sat Oct 02 17:23:57 GMT 2021","20608","","","","","","turn on light",""
"failed","Sat Oct 02 17:24:59 GMT 2021","Sat Oct 02 17:25:19 GMT 2021","20606","","","","","","turn off light",""
"failed","Sat Oct 02 17:24:18 GMT 2021","Sat Oct 02 17:24:38 GMT 2021","20607","","","","","","increase light brightness",""
"failed","Sat Oct 02 17:26:01 GMT 2021","Sat Oct 02 17:26:21 GMT 2021","20608","","","","","","set climate temperature",""
"failed","Sat Oct 02 17:25:19 GMT 2021","Sat Oct 02 17:25:40 GMT 2021","20608","","","","","","triger automation",""
"failed","Sat Oct 02 17:23:57 GMT 2021","Sat Oct 02 17:24:18 GMT 2021","20607","","","","","","set light brightness",""
"failed","Sat Oct 02 17:22:55 GMT 2021","Sat Oct 02 17:23:16 GMT 2021","20608","","","","","","toggle on switch",""
