"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 15 18:55:54 GMT 2021","Fri Oct 15 18:55:54 GMT 2021","589","","behave","","","","set light brightness",""
"passed","Fri Oct 15 18:55:39 GMT 2021","Fri Oct 15 18:55:39 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"broken","Fri Oct 15 18:55:39 GMT 2021","Fri Oct 15 18:55:39 GMT 2021","60","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Fri Oct 15 18:55:39 GMT 2021","Fri Oct 15 18:55:39 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Fri Oct 15 18:55:44 GMT 2021","Fri Oct 15 18:55:44 GMT 2021","382","","behave","","","","toggle off switch",""
"passed","Fri Oct 15 18:55:56 GMT 2021","Fri Oct 15 18:55:57 GMT 2021","1030","","behave","","","","triger automation",""
"passed","Fri Oct 15 18:55:43 GMT 2021","Fri Oct 15 18:55:44 GMT 2021","383","","behave","","","","turn on switch",""
"passed","Fri Oct 15 18:55:54 GMT 2021","Fri Oct 15 18:55:55 GMT 2021","342","","behave","","","","increase light brightness",""
"passed","Fri Oct 15 18:56:04 GMT 2021","Fri Oct 15 18:56:05 GMT 2021","624","","behave","","","","set climate temperature",""
"passed","Fri Oct 15 18:55:55 GMT 2021","Fri Oct 15 18:55:56 GMT 2021","700","","behave","","","","turn off light",""
"passed","Fri Oct 15 18:55:42 GMT 2021","Fri Oct 15 18:55:43 GMT 2021","976","","behave","","","","read sensor",""
"passed","Fri Oct 15 18:55:53 GMT 2021","Fri Oct 15 18:55:54 GMT 2021","428","","behave","","","","turn on light",""
"passed","Fri Oct 15 18:55:57 GMT 2021","Fri Oct 15 18:56:04 GMT 2021","6979","","behave","","","","tracker",""
"passed","Fri Oct 15 18:55:39 GMT 2021","Fri Oct 15 18:55:39 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Oct 15 18:55:45 GMT 2021","Fri Oct 15 18:55:53 GMT 2021","8616","","behave","","","","turn off switch",""
"passed","Fri Oct 15 18:55:39 GMT 2021","Fri Oct 15 18:55:39 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Oct 15 18:56:05 GMT 2021","Fri Oct 15 18:56:05 GMT 2021","398","","behave","","","","add item",""
"passed","Fri Oct 15 18:55:44 GMT 2021","Fri Oct 15 18:55:45 GMT 2021","638","","behave","","","","toggle on switch",""
"passed","Fri Oct 15 18:55:55 GMT 2021","Fri Oct 15 18:55:55 GMT 2021","361","","behave","","","","decrease light brightness",""
