2021-10-15 16:52:45.430 | INFO     |  5345 | __main__:main:50 | Starting message bus service...
2021-10-15 16:52:45.431 | INFO     |  5345 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-15 16:52:45.441 | INFO     |  5345 | __main__:on_ready:37 | Message bus service started!
2021-10-15 16:52:45.446 | INFO     |  5345 | tornado.access | 101 GET /core (127.0.0.1) 0.68ms
2021-10-15 16:52:45.507 | INFO     |  5345 | tornado.access | 101 GET /core (127.0.0.1) 0.55ms
2021-10-15 16:52:45.623 | INFO     |  5345 | tornado.access | 101 GET /core (127.0.0.1) 0.53ms
2021-10-15 16:52:45.685 | INFO     |  5345 | tornado.access | 101 GET /core (127.0.0.1) 0.70ms
2021-10-15 16:52:45.854 | INFO     |  5345 | tornado.access | 101 GET /core (127.0.0.1) 0.53ms
2021-10-15 16:54:00.417 | INFO     |  5345 | tornado.access | 101 GET /core (127.0.0.1) 0.49ms
2021-10-15 16:54:00.446 | INFO     |  5345 | tornado.access | 101 GET /core (127.0.0.1) 0.55ms
2021-10-15 16:54:40.523 | INFO     |  5345 | __main__:on_stopping:45 | Message bus is shutting down...
