"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 06 21:06:06 GMT 2021","Wed Oct 06 21:06:08 GMT 2021","1745","","","","","","turn on light",""
"passed","Wed Oct 06 21:06:11 GMT 2021","Wed Oct 06 21:06:17 GMT 2021","5831","","","","","","triger automation",""
"passed","Wed Oct 06 21:06:20 GMT 2021","Wed Oct 06 21:06:20 GMT 2021","709","","","","","","add item",""
"passed","Wed Oct 06 21:06:08 GMT 2021","Wed Oct 06 21:06:09 GMT 2021","434","","","","","","set light brightness",""
"passed","Wed Oct 06 21:06:00 GMT 2021","Wed Oct 06 21:06:06 GMT 2021","6855","","","","","","turn off switch",""
"passed","Wed Oct 06 21:05:59 GMT 2021","Wed Oct 06 21:06:00 GMT 2021","683","","","","","","toggle on switch",""
"passed","Wed Oct 06 21:06:09 GMT 2021","Wed Oct 06 21:06:09 GMT 2021","606","","","","","","increase light brightness",""
"passed","Wed Oct 06 21:05:59 GMT 2021","Wed Oct 06 21:05:59 GMT 2021","344","","","","","","toggle off switch",""
"passed","Wed Oct 06 21:05:58 GMT 2021","Wed Oct 06 21:05:59 GMT 2021","388","","","","","","turn on switch",""
"passed","Wed Oct 06 21:06:10 GMT 2021","Wed Oct 06 21:06:11 GMT 2021","1016","","","","","","turn off light",""
"passed","Wed Oct 06 21:06:19 GMT 2021","Wed Oct 06 21:06:20 GMT 2021","1035","","","","","","set climate temperature",""
"passed","Wed Oct 06 21:05:53 GMT 2021","Wed Oct 06 21:05:58 GMT 2021","4738","","","","","","read sensor",""
"passed","Wed Oct 06 21:06:17 GMT 2021","Wed Oct 06 21:06:19 GMT 2021","1724","","","","","","tracker",""
"passed","Wed Oct 06 21:06:09 GMT 2021","Wed Oct 06 21:06:10 GMT 2021","710","","","","","","decrease light brightness",""
