"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 11 17:46:42 GMT 2021","Mon Oct 11 17:46:42 GMT 2021","371","","","","","","turn off light",""
"passed","Mon Oct 11 17:46:43 GMT 2021","Mon Oct 11 17:46:43 GMT 2021","332","","","","","","set climate temperature",""
"passed","Mon Oct 11 17:46:42 GMT 2021","Mon Oct 11 17:46:43 GMT 2021","330","","","","","","triger automation",""
"passed","Mon Oct 11 17:45:55 GMT 2021","Mon Oct 11 17:45:55 GMT 2021","325","","","","","","toggle off switch",""
"passed","Mon Oct 11 17:45:53 GMT 2021","Mon Oct 11 17:45:54 GMT 2021","891","","","","","","read sensor",""
"passed","Mon Oct 11 17:46:43 GMT 2021","Mon Oct 11 17:46:43 GMT 2021","373","","","","","","tracker",""
"passed","Mon Oct 11 17:45:56 GMT 2021","Mon Oct 11 17:45:57 GMT 2021","1014","","","","","","turn on light",""
"passed","Mon Oct 11 17:45:55 GMT 2021","Mon Oct 11 17:45:55 GMT 2021","326","","","","","","toggle on switch",""
"passed","Mon Oct 11 17:45:57 GMT 2021","Mon Oct 11 17:46:01 GMT 2021","4034","","","","","","set light brightness",""
"failed","Mon Oct 11 17:46:21 GMT 2021","Mon Oct 11 17:46:42 GMT 2021","20606","","","","","","decrease light brightness",""
"passed","Mon Oct 11 17:45:55 GMT 2021","Mon Oct 11 17:45:56 GMT 2021","370","","","","","","turn off switch",""
"failed","Mon Oct 11 17:46:01 GMT 2021","Mon Oct 11 17:46:21 GMT 2021","20606","","","","","","increase light brightness",""
"passed","Mon Oct 11 17:46:43 GMT 2021","Mon Oct 11 17:46:44 GMT 2021","320","","","","","","add item",""
"passed","Mon Oct 11 17:45:54 GMT 2021","Mon Oct 11 17:45:55 GMT 2021","373","","","","","","turn on switch",""
