"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 23 10:02:08 GMT 2021","Sat Oct 23 10:02:15 GMT 2021","6944","","behave","","","","tracker",""
"passed","Sat Oct 23 10:01:55 GMT 2021","Sat Oct 23 10:01:56 GMT 2021","377","","behave","","","","toggle off switch",""
"passed","Sat Oct 23 10:02:05 GMT 2021","Sat Oct 23 10:02:06 GMT 2021","628","","behave","","","","set light brightness",""
"passed","Sat Oct 23 10:01:51 GMT 2021","Sat Oct 23 10:01:51 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Sat Oct 23 10:02:15 GMT 2021","Sat Oct 23 10:02:16 GMT 2021","704","","behave","","","","set climate temperature",""
"passed","Sat Oct 23 10:02:05 GMT 2021","Sat Oct 23 10:02:05 GMT 2021","383","","behave","","","","turn on light",""
"passed","Sat Oct 23 10:01:51 GMT 2021","Sat Oct 23 10:01:51 GMT 2021","3","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Sat Oct 23 10:02:06 GMT 2021","Sat Oct 23 10:02:07 GMT 2021","695","","behave","","","","turn off light",""
"passed","Sat Oct 23 10:01:56 GMT 2021","Sat Oct 23 10:01:56 GMT 2021","642","","behave","","","","toggle on switch",""
"passed","Sat Oct 23 10:01:51 GMT 2021","Sat Oct 23 10:01:51 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Sat Oct 23 10:01:51 GMT 2021","Sat Oct 23 10:01:51 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Sat Oct 23 10:01:56 GMT 2021","Sat Oct 23 10:02:05 GMT 2021","8624","","behave","","","","turn off switch",""
"passed","Sat Oct 23 10:01:55 GMT 2021","Sat Oct 23 10:01:55 GMT 2021","380","","behave","","","","turn on switch",""
"passed","Sat Oct 23 10:02:06 GMT 2021","Sat Oct 23 10:02:06 GMT 2021","367","","behave","","","","decrease light brightness",""
"passed","Sat Oct 23 10:02:07 GMT 2021","Sat Oct 23 10:02:08 GMT 2021","1029","","behave","","","","triger automation",""
"passed","Sat Oct 23 10:01:51 GMT 2021","Sat Oct 23 10:01:51 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Sat Oct 23 10:01:51 GMT 2021","Sat Oct 23 10:01:51 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Sat Oct 23 10:01:54 GMT 2021","Sat Oct 23 10:01:55 GMT 2021","939","","behave","","","","read sensor",""
"passed","Sat Oct 23 10:02:06 GMT 2021","Sat Oct 23 10:02:06 GMT 2021","334","","behave","","","","increase light brightness",""
"passed","Sat Oct 23 10:01:51 GMT 2021","Sat Oct 23 10:01:51 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Sat Oct 23 10:02:16 GMT 2021","Sat Oct 23 10:02:16 GMT 2021","326","","behave","","","","add item",""
"passed","Sat Oct 23 10:01:51 GMT 2021","Sat Oct 23 10:01:51 GMT 2021","24","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
