"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 15 21:21:23 GMT 2021","Fri Oct 15 21:21:23 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Oct 15 21:21:27 GMT 2021","Fri Oct 15 21:21:28 GMT 2021","388","","behave","","","","turn on switch",""
"passed","Fri Oct 15 21:21:23 GMT 2021","Fri Oct 15 21:21:23 GMT 2021","27","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Fri Oct 15 21:21:39 GMT 2021","Fri Oct 15 21:21:40 GMT 2021","577","","behave","","","","triger automation",""
"passed","Fri Oct 15 21:21:47 GMT 2021","Fri Oct 15 21:21:48 GMT 2021","837","","behave","","","","set climate temperature",""
"passed","Fri Oct 15 21:21:23 GMT 2021","Fri Oct 15 21:21:23 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Fri Oct 15 21:21:48 GMT 2021","Fri Oct 15 21:21:49 GMT 2021","534","","behave","","","","add item",""
"passed","Fri Oct 15 21:21:39 GMT 2021","Fri Oct 15 21:21:39 GMT 2021","450","","behave","","","","turn off light",""
"passed","Fri Oct 15 21:21:28 GMT 2021","Fri Oct 15 21:21:28 GMT 2021","393","","behave","","","","toggle off switch",""
"passed","Fri Oct 15 21:21:40 GMT 2021","Fri Oct 15 21:21:47 GMT 2021","7266","","behave","","","","tracker",""
"passed","Fri Oct 15 21:21:23 GMT 2021","Fri Oct 15 21:21:23 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Oct 15 21:21:38 GMT 2021","Fri Oct 15 21:21:38 GMT 2021","412","","behave","","","","set light brightness",""
"passed","Fri Oct 15 21:21:29 GMT 2021","Fri Oct 15 21:21:30 GMT 2021","1012","","behave","","","","turn off switch",""
"passed","Fri Oct 15 21:21:23 GMT 2021","Fri Oct 15 21:21:23 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Fri Oct 15 21:21:30 GMT 2021","Fri Oct 15 21:21:38 GMT 2021","7966","","behave","","","","turn on light",""
"passed","Fri Oct 15 21:21:38 GMT 2021","Fri Oct 15 21:21:39 GMT 2021","560","","behave","","","","decrease light brightness",""
"passed","Fri Oct 15 21:21:38 GMT 2021","Fri Oct 15 21:21:38 GMT 2021","387","","behave","","","","increase light brightness",""
"passed","Fri Oct 15 21:21:26 GMT 2021","Fri Oct 15 21:21:27 GMT 2021","996","","behave","","","","read sensor",""
"passed","Fri Oct 15 21:21:28 GMT 2021","Fri Oct 15 21:21:29 GMT 2021","629","","behave","","","","toggle on switch",""
