"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 14 19:17:40 GMT 2021","Thu Oct 14 19:17:41 GMT 2021","711","","","","","","turn off switch",""
"passed","Thu Oct 14 19:18:27 GMT 2021","Thu Oct 14 19:18:27 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights",""
"passed","Thu Oct 14 19:17:50 GMT 2021","Thu Oct 14 19:17:50 GMT 2021","342","","","","","","increase light brightness",""
"passed","Thu Oct 14 19:18:12 GMT 2021","Thu Oct 14 19:18:13 GMT 2021","343","","","","","","set climate temperature",""
"passed","Thu Oct 14 19:18:27 GMT 2021","Thu Oct 14 19:18:27 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_broke_entity",""
"failed","Thu Oct 14 19:17:52 GMT 2021","Thu Oct 14 19:18:12 GMT 2021","20608","","","","","","tracker",""
"passed","Thu Oct 14 19:18:27 GMT 2021","Thu Oct 14 19:18:27 GMT 2021","23","unittests","test_haclient","TestHaClient","","","test_light_nossl",""
"passed","Thu Oct 14 19:17:40 GMT 2021","Thu Oct 14 19:17:40 GMT 2021","344","","","","","","toggle off switch",""
"passed","Thu Oct 14 19:18:27 GMT 2021","Thu Oct 14 19:18:27 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port",""
"passed","Thu Oct 14 19:17:49 GMT 2021","Thu Oct 14 19:17:50 GMT 2021","1042","","","","","","set light brightness",""
"passed","Thu Oct 14 19:18:27 GMT 2021","Thu Oct 14 19:18:27 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl",""
"passed","Thu Oct 14 19:17:39 GMT 2021","Thu Oct 14 19:17:40 GMT 2021","395","","","","","","turn on switch",""
"passed","Thu Oct 14 19:17:35 GMT 2021","Thu Oct 14 19:17:39 GMT 2021","4002","","behave","","","","read sensor",""
"passed","Thu Oct 14 19:17:51 GMT 2021","Thu Oct 14 19:17:52 GMT 2021","700","","","","","","triger automation",""
"passed","Thu Oct 14 19:17:50 GMT 2021","Thu Oct 14 19:17:51 GMT 2021","695","","","","","","decrease light brightness",""
"passed","Thu Oct 14 19:18:13 GMT 2021","Thu Oct 14 19:18:13 GMT 2021","329","","","","","","add item",""
"passed","Thu Oct 14 19:17:51 GMT 2021","Thu Oct 14 19:17:51 GMT 2021","332","","","","","","turn off light",""
"passed","Thu Oct 14 19:17:41 GMT 2021","Thu Oct 14 19:17:49 GMT 2021","7400","","","","","","turn on light",""
"passed","Thu Oct 14 19:17:40 GMT 2021","Thu Oct 14 19:17:40 GMT 2021","335","","","","","","toggle on switch",""
