2021-10-28 20:21:31.536 | INFO     |  5330 | __main__:main:50 | Starting message bus service...
2021-10-28 20:21:31.536 | INFO     |  5330 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-28 20:21:31.543 | INFO     |  5330 | __main__:on_ready:37 | Message bus service started!
2021-10-28 20:21:31.545 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.68ms
2021-10-28 20:21:31.734 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.61ms
2021-10-28 20:21:31.900 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.43ms
2021-10-28 20:21:36.458 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.55ms
2021-10-28 20:21:36.528 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.48ms
2021-10-28 20:22:46.909 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.54ms
2021-10-28 20:22:46.924 | INFO     |  5330 | tornado.access | 101 GET /core (127.0.0.1) 0.40ms
2021-10-28 20:23:27.186 | INFO     |  5330 | __main__:on_stopping:45 | Message bus is shutting down...
